B1	Működési célú támogatások államháztartáson belülről
B11	Önkormányzatok működési támogatásai
B111	Helyi önkormányzatok működésének általános támogatása
B112	Települési önkormányzatok egyes köznevelési feladatainak támogatása
B113	Települési önkormányzatok szociális, gyermekjóléti és gyermekétkeztetési feladatainak támogatása
B1131	Települési önkormányzatok egyes szociális és gyermekjóléti feladatainak támogatása
B1132	Települési önkormányzatok gyermekétkeztetési feladatainak támogatása
B114	Települési önkormányzatok kulturális feladatainak támogatása
B115	Működési célú költségvetési támogatások és kiegészítő támogatások
B116	Elszámolásból származó bevételek
B12	Elvonások és befizetések bevételei
B13	Működési célú garancia- és kezességvállalásból származó megtérülések államháztartáson belülről
B14	Működési célú visszatérítendő támogatások, kölcsönök visszatérülése államháztartáson belülről
B15	Működési célú visszatérítendő támogatások, kölcsönök igénybevétele államháztartáson belülről
B16	Egyéb működési célú támogatások bevételei államháztartáson belülről
B2	Felhalmozási célú támogatások államháztartáson belülről
B21	Felhalmozási célú önkormányzati támogatások
B22	Felhalmozási célú garancia- és kezességvállalásból származó megtérülések államháztartáson belülről
B23	Felhalmozási célú visszatérítendő támogatások, kölcsönök visszatérülése államháztartáson belülről
B24	Felhalmozási célú visszatérítendő támogatások, kölcsönök igénybevétele államháztartáson belülről
B25	Egyéb felhalmozási célú támogatások bevételei államháztartáson belülről
B3	Közhatalmi bevételek
B31	Jövedelemadók
B311	Magánszemélyek jövedelemadói
B312	Társaságok jövedelemadói
B32	Szociális hozzájárulási adó és járulékok
B33	Bérhez és foglalkoztatáshoz kapcsolódó adók
B34	Vagyoni típusú adók
B34	ebből: építményadó
B34	ebből: magánszemélyek kommunális adója
B34	ebből: telekadó
B34	ebből: cégautóadó
B34	ebből: közművezetékek adója
B34	ebből: öröklési és ajándékozási illeték
B35	Termékek és szolgáltatások adói
B351	Értékesítési és forgalmi adók
B352	Fogyasztási adók
B353	Pénzügyi monopóliumok nyereségét terhelő adók
B354	Gépjárműadók
