id,value,parent_id
107054,Családsegítés,1070
107014,Támogatott lakhatás hajléktalan személyek részére,1070
900070,Fejezeti és általános tartalékok elszámolása,9000
11220,"Adó-, vám- és jövedéki igazgatás",112
84070,"A fiatalok társadalmi integrációját segítő struktúra, szakmai szolgáltatások fejlesztése, működtetése",840
104060,"A gyermekek, fiatalok és családok életminőségét javító programok",1040
104070,A gyermeki jogok érvényre juttatásával összefüggő feladatok,1040
13110,A közszolgálat egyetemes humánerő-gazdálkodása,131
91240,Alapfokú művészetoktatás,912
91250,Alapfokú művészetoktatással összefüggő működtetési feladatok,912
140,Alapkutatás,1
17010,Államadóssággal kapcsolatos tranzakciók,170
170,Államadóssággal kapcsolatos tranzakciók,1
11230,Államadósság kezelése,112
11110,Államhatalmi szervek tevékenysége,111
111,"Államhatalmi, törvényhozó és végrehajtó szervezetek",1
16030,Állampolgársági ügyek,160
42180,Állat-egészségügy,421
411,Általános gazdasági és kereskedelmi ügyek,4
41110,Általános gazdasági és kereskedelmi ügyek igazgatása,411
180,Általános jellegű transzferek a kormányzat különböző szintjei között,1
14010,Általános K+F politika,140
731,Általános kórházi szolgáltatások,7
1,Általános közszolgáltatások,NA
150,Általános közszolgáltatásokhoz kapcsolódó K+F,1
15010,Általános közszolgáltatásokkal kapcsolatos alkalmazott kutatás és fejlesztés,150
412,Általános munkaügyek,4
721,Általános orvosi szolgáltatások,7
72190,Általános orvosi szolgáltatások finanszírozása és támogatása,721
131,Általános személyzeti szolgáltatások,1
47410,Ár- és belvízvédelemmel összefüggő tevékenységek,474
441,Ásványianyag- (kivéve: szilárd ásványi fűtőanyag) bányászat,4
44110,Ásványianyag- (kivéve: szilárd ásványi fűtőanyag) bányászat igazgatása és támogatása,441
13210,Átfogó tervezési és statisztikai szolgáltatások,132
132,Átfogó tervezési és statisztikai szolgáltatások,1
11210,"Az államháztartás igazgatása, ellenőrzése",112
13340,Az állami vagyonnal való gazdálkodással kapcsolatos feladatok,133
102050,Az időskorúak társadalmi integrációját célzó programok,1020
13350,Az önkormányzati vagyonnal való gazdálkodással kapcsolatos feladatok,133
31070,Baleset-megelőzés,310
734,Bentlakásos egészségügyi ápolási szolgáltatások,7
73130,Bentlakásos egészségügyi rehabilitációs ellátás általános kórházakban,731
73230,Bentlakásos egészségügyi rehabilitációs ellátás szakkórházakban,732
73420,Bentlakásos hospice-ellátás,734
101110,"Bentlakásos, nem kórházi ellátás, ápolás",1011
1011,Betegség,10
101150,"Betegséggel kapcsolatos pénzbeli ellátások, támogatások",1011
72160,"Betegszállítás, valamint orvosi rendelvényű halottszállítás",721
14020,Biotechnológiai alapkutatás,140
33020,Bírósági tevékenység,330
104044,Biztos Kezdet Gyerekház,1040
31060,Bűnmegelőzés,310
340,Büntetés-végrehajtási tevékenységek,3
34020,Büntetés-végrehajtási tevékenységek,340
34010,Büntetés-végrehajtási tevékenység igazgatása,340
41150,Cégnyilvántartás,411
84031,Civil szervezetek működési támogatása,840
84032,Civil szervezetek programtámogatása,840
1040,Család és gyermekek,10
104043,Család és gyermekjóléti központ,1040
104042,Család és gyermekjóléti szolgáltatások,1040
74031,Család és nővédelmi egészségügyi gondozás,740
107020,Családon belüli erőszak sértettjeinek bentlakásos ellátása,1070
104052,Családtámogatások,1040
455,Csővezetékes és egyéb szállítás,4
45510,Csővezetékes és egyéb szállítás igazgatása és támogatása,455
45530,Csővezetékes szállítás,455
102026,Demens betegek átmeneti ellátása,1020
102032,Demens betegek nappali ellátása,1020
102024,Demens betegek tartós bentlakásos ellátása,1020
81023,Doppingellenes tevékenység,810
18050,Egészségbiztosítási alap bevételei államháztartáson belülről,180
900040,Egészségbiztosítási Alap funkcióra nem sorolható bevételei államháztartáson kívülről,9000
76020,Egészségbiztosítási szolgáltatások igazgatása,760
75010,Egészségüggyel kapcsolatos alkalmazott kutatás és fejlesztés,750
7,Egészségügy,NA
73410,Egészségügyi ápolás bentlakással,734
76010,Egészségügy igazgatása,760
750,Egészségügyi K+F,7
72420,Egészségügyi laboratóriumi szolgáltatások,724
32050,"Egészségügyi stratégiai tartalékok tárolása, kezelése",320
76040,Egészségügyi szakértői tevékenységek,760
94130,Egészségügyi szakmai képzés,941
160,Egyéb általános közszolgáltatások,1
133,Egyéb általános szolgáltatások,1
760,Egyéb egészségügy,7
76090,Egyéb egészségügyi szolgáltatások finanszírozása és támogatása,760
436,Egyéb energiaipar,4
43610,Egyéb energiaipar igazgatása és támogatása,436
490,Egyéb gazdasági ügyek,4
712,Egyéb gyógyászati termékek,7
71220,Egyéb gyógyászati termékek finanszírozása,712
71210,Egyéb gyógyászati termék kiskereskedelme,712
83030,Egyéb kiadói tevékenység,830
13390,Egyéb kiegészítő szolgáltatások,133
660,Egyéb kommunális feladatok,6
560,Egyéb környezetvédelem,5
360,Egyéb közrend és biztonsági ügyek,3
72480,Egyéb paramedikális szolgáltatások,724
31050,"Egyéb rendészeti, bűnüldözési tevékenységek",310
860,"Egyéb szabadidő, kultúra és vallás",8
86090,Egyéb szabadidős szolgáltatás,860
45150,Egyéb szárazföldi személyszállítás,451
1070,Egyéb szociális kirekesztettség,10
107060,"Egyéb szociális pénzbeli és természetbeni ellátások, támogatások",1070
46030,Egyéb távközlés,460
434,Egyéb tüzelőanyag-ipar,4
43410,Egyéb tüzelőanyag-ipar igazgatása és támogatása,434
250,Egyéb védelmi ügyek,2
25090,Egyéb védelmi ügyek,250
84040,Egyházak közösségi és hitéleti tevékenységének támogatása,840
73160,Egynapos sebészeti ellátás (egynapos beavatkozás),731
76070,"Élelmezés- és táplálkozás-egészségügyi felügyelet, ellenőrzés, tanácsadás",760
42170,Élelmiszerlánc-biztonság igazgatása,421
103010,Elhunyt személyek hátramaradottainak pénzbeli ellátásai,1030
18040,Elkülönített állami pénzalapok bevételei államháztartáson belülről,180
900030,Elkülönített állami pénzalapok funkcióra nem sorolható bevételei államháztartáson kívülről,9000
471,"Elosztó kereskedelem, tárolás, raktározás",4
443,"Építésügy, építőipar",4
44310,Építésügy igazgatása,443
44320,Építőipar támogatása,443
84060,"Érdekképviseleti, szakszervezeti tevékenységek támogatása",840
422,Erdőgazdálkodás,4
42220,Erdőgazdálkodás,422
42210,Erdőgazdálkodás igazgatása és támogatása,422
107080,Esélyegyenlőség elősegítését célzó tevékenységek és programok,1070
107055,"Falugondnoki, tanyagondnoki szolgáltatás",1070
73110,Fekvőbetegek aktív ellátása általános kórházakban,731
73210,Fekvőbetegek aktív ellátása szakkórházakban,732
73120,Fekvőbetegek krónikus ellátása általános kórházakban,731
73220,Fekvőbetegek krónikus ellátása szakkórházakban,732
73190,Fekvőbeteg-ellátás finanszírozása és támogatása,731
442,Feldolgozóipar,4
44210,Feldolgozóipar igazgatása és támogatása,442
91260,Felnőttoktatás 1-4. évfolyamon,912
92140,Felnőttoktatás 5-8. évfolyamon,921
942,Felsőfokú oktatás,9
94210,Felsőfokú oktatás,942
93010,Felsőfokú végzettségi szintet nem biztosító képzések,930
94110,Felsőoktatási szakképzés,941
941,Felsőszintű képzés,9
74040,"Fertőző megbetegedések megelőzése, járványügyi ellátás",740
72450,Fizikoterápiás szolgáltatás,724
74011,Foglalkozás-egészségügyi alapellátás,740
74012,Foglalkozás-egészségügyi szakellátás,740
105020,Foglalkoztatást elősegítő képzések és egyéb támogatások,1050
72311,Fogorvosi alapellátás,723
72390,Fogorvosi ellátás finanszírozása és támogatása,723
72313,Fogorvosi szakellátás,723
723,Fogorvosi szolgáltatások,7
72312,Fogorvosi ügyeleti ellátás,723
1012,Fogyatékosság,10
101215,Fogyatékossággal élők ápoló-gondozó lakóotthoni ellátása,1012
101213,Fogyatékossággal élők átmeneti ellátása,1012
81044,"Fogyatékossággal élők iskolai, diáksport-tevékenysége és támogatása",810
101221,Fogyatékossággal élők nappali ellátása,1012
101212,Fogyatékossággal élők rehabilitációs célú bentlakásos ellátása,1012
101216,Fogyatékossággal élők rehabilitációs célú lakóotthoni ellátása,1012
101270,"Fogyatékossággal élők társadalmi integrációját és életminőségét segítő programok, támogatások",1012
101211,Fogyatékossággal élők tartós bentlakásos ellátása,1012
81042,Fogyatékossággal élők versenysport tevékenysége és támogatása,810
101231,"Fogyatékossággal összefüggő pénzbeli ellátások, támogatások",1012
41160,"Földmérés, térképészet",411
41120,Földügy igazgatása,411
900060,Forgatási és befektetési célú finanszírozási műveletek,9000
121,Gazdasági segítség nyújtása fejlődő és átmeneti gazdaságú országoknak,1
12110,Gazdasági segítség nyújtása fejlődő és átmeneti gazdaságú országoknak,121
